# Wireshark / IEEE OUI database for NetScanner
# Format: <MAC prefix>\t<Short Name>\t<Full Vendor Name>
#
00:00:00	Officially	Officially Xerox, but 0:0:0:0:0:0 is more common
00:46:4B	Huawei	Huawei Technologies Co.,Ltd
00:4A:77	zte	zte corporation
00:4B:0D	Huawei	Huawei Device Co., Ltd.
00:4B:12	Espressif	Espressif Inc.
00:4E:01	Dell	Dell Inc.
00:4E:35	Hewlett	Hewlett Packard Enterprise
00:4F:1A	Huawei	Huawei Technologies Co.,Ltd
00:50:56	VMware	VMware, Inc.
00:50:81	Murata	Murata Machinery, Ltd.
00:50:8B	Hewlett	Hewlett Packard
00:50:B7	Boser	Boser Technology Co., Ltd.
00:50:BA	DLink	D-Link Corporation
00:50:E4	Apple	Apple, Inc.
00:50:F2	Microsoft	Microsoft Corp.
00:56:6D	Huawei	Huawei Device Co., Ltd.
00:56:CD	Apple	Apple, Inc.
00:56:F1	zte	zte corporation
00:57:C1	LG	LG Electronics (Mobile Communications)
00:59:07	LenovoEMC	LenovoEMC Products USA, LLC
00:5A:13	Huawei	Huawei Technologies Co.,Ltd
00:5B:94	Apple	Apple, Inc.
00:5F:67	TPLink	TP-Link Systems Inc
00:60:48	Dell	Dell EMC
00:60:4C	Sagemcom	Sagemcom Broadband SAS
00:60:57	Murata	Murata Manufacturing Co., Ltd.
00:60:67	Acer	Acer Netxus Inc.
00:60:B0	Hewlett	Hewlett Packard
00:61:51	Huawei	Huawei Technologies Co.,Ltd
00:61:71	Apple	Apple, Inc.
00:62:01	Motorola	Motorola Mobility LLC, a Lenovo Company
00:62:0B	Broadcom	Broadcom Limited
00:66:19	Huawei	Huawei Device Co., Ltd.
00:66:4B	Huawei	Huawei Technologies Co.,Ltd
00:66:DC	Apple	Apple, Inc.
00:68:2B	Huawei	Huawei Device Co., Ltd.
00:6B:6F	Huawei	Huawei Technologies Co.,Ltd
00:6D:52	Apple	Apple, Inc.
00:6F:64	Samsung	Samsung Electronics Co.,Ltd
00:70:07	Espressif	Espressif Inc.
00:71:47	Amazon	Amazon Technologies Inc.
00:71:C2	Pegatron	Pegatron Corporation
00:71:CC	Hon	Hon Hai Precision Ind. Co.,Ltd.
00:78:9E	Sagemcom	Sagemcom Broadband SAS
00:7D:60	Apple	Apple, Inc.
00:80:5F	Hewlett	Hewlett Packard
00:80:77	Brother	Brother industries, LTD.
00:80:A0	Hewlett	Hewlett Packard
00:80:C8	DLink	D-Link Systems, Inc.
00:81:2A	Apple	Apple, Inc.
00:83:20	Huawei	Huawei Device Co., Ltd.
00:86:21	Amazon	Amazon Technologies Inc.
00:88:65	Apple	Apple, Inc.
00:8A:55	Huawei	Huawei Device Co., Ltd.
00:8A:76	Apple	Apple, Inc.
00:8E:F2	Netgear	Netgear
00:90:5D	Netcom	Netcom Sicherheitstechnik Gmbh
00:92:35	Apple	Apple, Inc.
00:94:EC	Huawei	Huawei Device Co., Ltd.
00:97:F1	Apple	Apple, Inc.
00:99:1D	Huawei	Huawei Technologies Co.,Ltd
00:9A:CD	Huawei	Huawei Technologies Co.,Ltd
00:9C:C0	vivo	vivo Mobile Communication Co., Ltd.
00:9D:6B	Murata	Murata Manufacturing Co., Ltd.
00:9E:C8	Xiaomi	Xiaomi Communications Co Ltd
00:A0:40	Apple	Apple, Inc.
00:A0:60	Acer	Acer Peripherals, Inc.
00:A0:AF	Wms	Wms Industries
00:A0:BF	Wireless	Wireless Data Group Motorola
00:A0:C6	Qualcomm	Qualcomm Inc.
00:A1:59	LG	LG Electronics
00:A4:5F	Huawei	Huawei Device Co., Ltd.
00:A9:1D	Huawei	Huawei Technologies Co.,Ltd
00:AA:70	LG	LG Electronics (Mobile Communications)
00:AD:24	DLink	D-Link International
00:AD:D5	Huawei	Huawei Device Co., Ltd.
00:AE:FA	Murata	Murata Manufacturing Co., Ltd.
00:B0:52	Atheros	Atheros Communications
00:B0:D0	Dell	Dell Inc.
00:B3:62	Apple	Apple, Inc.
00:B8:B6	Motorola	Motorola Mobility LLC, a Lenovo Company
00:BB:1C	Huawei	Huawei Device Co., Ltd.
00:BB:3A	Amazon	Amazon Technologies Inc.
00:BB:C1	Canon	Canon Inc.
00:BE:3B	Huawei	Huawei Technologies Co.,Ltd
00:BE:43	Dell	Dell Inc.
00:C0:4F	Dell	Dell Inc.
00:C0:F4	Interlink	Interlink System Co., Ltd.
00:C3:0A	Xiaomi	Xiaomi Communications Co Ltd
00:C5:85	Apple	Apple, Inc.
00:C6:10	Apple	Apple, Inc.
00:CA:E0	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
00:CB:51	Sagemcom	Sagemcom Broadband SAS
00:CC:05	Huawei	Huawei Technologies Co.,Ltd
00:D8:A2	Huawei	Huawei Device Co., Ltd.
00:D9:D1	Sony	Sony Interactive Entertainment Inc.
00:E0:0C	Motorola	Motorola
00:E0:18	ASUSTek	ASUSTek COMPUTER INC.
00:E0:4C	Realtek	Realtek Semiconductor Corp.
00:E0:91	LG	LG Electronics
00:E0:FC	Huawei	Huawei Technologies Co.,Ltd
00:E1:2F	Huawei	Huawei Technologies Co.,Ltd
00:E4:06	Huawei	Huawei Technologies Co.,Ltd
00:E4:21	Sony	Sony Interactive Entertainment Inc.
00:E7:E3	zte	zte corporation
00:EC:0A	Xiaomi	Xiaomi Communications Co Ltd
00:F3:61	Amazon	Amazon Technologies Inc.
00:F5:FD	Huawei	Huawei Technologies Co.,Ltd
00:F6:20	Google	Google, Inc.
00:F7:AD	Huawei	Huawei Technologies Co.,Ltd
00:F8:1C	Huawei	Huawei Technologies Co.,Ltd
00:F8:CC	Sagemcom	Sagemcom Broadband SAS
00:F9:52	Huawei	Huawei Technologies Co.,Ltd
00:FA:DE	Motorola	Motorola Mobility LLC, a Lenovo Company
00:FB:4A	Espressif	Espressif Inc.
00:FC:8B	Amazon	Amazon Technologies Inc.
04:00:6E	Google	Google, Inc.
04:02:1F	Huawei	Huawei Technologies Co.,Ltd
04:03:D6	Nintendo	Nintendo Co.,Ltd
04:09:86	Arcadyan	Arcadyan Corporation
04:0F:66	TPLink	TP-Link Systems Inc.
04:10:6B	Xiaomi	Xiaomi Communications Co Ltd
04:14:71	Huawei	Huawei Technologies Co.,Ltd
04:18:92	Huawei	Huawei Technologies Co.,Ltd
04:18:D6	Ubiquiti	Ubiquiti Inc
04:1B:6D	LG	LG Electronics (Mobile Communications)
04:1D:C7	zte	zte corporation
04:1F:B8	vivo	vivo Mobile Communication Co., Ltd.
04:20:84	zte	zte corporation
04:24:05	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
04:25:C5	Huawei	Huawei Technologies Co.,Ltd
04:27:28	Microsoft	Microsoft Corporation
04:27:58	Huawei	Huawei Technologies Co.,Ltd
04:32:01	Broadcom	Broadcom Limited
04:33:1F	Huawei	Huawei Device Co., Ltd.
04:33:89	Huawei	Huawei Technologies Co.,Ltd
04:34:F6	Motorola	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
04:42:1A	ASUSTek	ASUSTek COMPUTER INC.
04:46:65	Murata	Murata Manufacturing Co., Ltd.
04:49:5D	Huawei	Huawei Device Co., Ltd.
04:4A:6C	Huawei	Huawei Technologies Co.,Ltd
04:4B:B1	Huawei	Huawei Device Co., Ltd.
04:4F:4C	Huawei	Huawei Technologies Co.,Ltd
04:52:C7	Bose	Bose Corporation
04:55:B8	Huawei	Huawei Technologies Co.,Ltd
04:64:FA	Dell	Dell Inc.
04:67:61	Beijing	Beijing Xiaomi Mobile Software Co., Ltd
04:6E:CB	zte	zte corporation
04:6F:00	LG	LG Electronics
04:70:56	Arcadyan	Arcadyan Corporation
04:7A:0B	Beijing	Beijing Xiaomi Electronics Co., Ltd.
04:83:08	Espressif	Espressif Inc.
04:92:26	ASUSTek	ASUSTek COMPUTER INC.
04:95:73	zte	zte corporation
04:A1:51	Netgear	Netgear
04:A2:22	Arcadyan	Arcadyan Corporation
04:AE:47	Beijing	Beijing Xiaomi Mobile Software Co., Ltd
04:B1:67	Xiaomi	Xiaomi Communications Co Ltd
04:B2:47	Espressif	Espressif Inc.
04:B4:FE	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
04:BA:D6	DLink	D-Link Corporation
04:BF:1B	Dell	Dell Inc.
04:C4:61	Murata	Murata Manufacturing Co., Ltd.
04:C8:07	Xiaomi	Xiaomi Communications Co Ltd
04:C8:45	TPLink	TP-Link Systems Inc.
04:C8:B0	Google	Google, Inc.
04:CF:8C	XIAOMI	XIAOMI Electronics,CO.,LTD
04:D1:3A	Xiaomi	Xiaomi Communications Co Ltd
04:D3:95	Motorola	Motorola Mobility LLC, a Lenovo Company
04:D4:C4	ASUSTek	ASUSTek COMPUTER INC.
04:D9:C8	Hon	Hon Hai Precision Industry Co., Ltd.
04:D9:F5	ASUSTek	ASUSTek COMPUTER INC.
04:DB:D9	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
04:E3:1A	Sagemcom	Sagemcom Broadband SAS
04:E5:98	Xiaomi	Xiaomi Communications Co Ltd
04:F7:78	Sony	Sony Interactive Entertainment Inc.
04:F9:F8	TpLink	Tp-Link Technologies Co.,Ltd.
08:00:16	Barrister	Barrister Info Sys Corp
08:00:1B	Dell	Dell EMC
08:00:72	Xerox	Xerox Corp Univ Grant Program
08:02:8E	Netgear	Netgear
08:05:81	Roku	Roku, Inc.
08:12:A5	Amazon	Amazon Technologies Inc.
08:18:1A	zte	zte corporation
08:1C:6E	Xiaomi	Xiaomi Communications Co Ltd
08:1F:71	TpLink	Tp-Link Technologies Co.,Ltd.
08:23:B2	vivo	vivo Mobile Communication Co., Ltd.
08:25:25	Xiaomi	Xiaomi Communications Co Ltd
08:27:A8	Arcadyan	Arcadyan Corporation
08:35:7D	Microsoft	Microsoft Corporation
08:36:C9	Netgear	Netgear
08:38:E6	Motorola	Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.
08:3A:8D	Espressif	Espressif Inc.
08:3A:F2	Espressif	Espressif Inc.
08:3E:5D	Sagemcom	Sagemcom Broadband SAS
08:3E:8E	Hon	Hon Hai Precision Ind. Co.,Ltd.
08:3F:21	Motorola	Motorola Mobility LLC, a Lenovo Company
08:3F:BC	zte	zte corporation
08:44:73	zte	zte corporation
08:4A:CF	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
08:51:F2	Sagemcom	Sagemcom Broadband SAS
08:57:00	TpLink	Tp-Link Technologies Co.,Ltd.
08:57:FB	Amazon	Amazon Technologies Inc.
08:5A:11	DLink	D-Link International
08:60:6E	ASUSTek	ASUSTek COMPUTER INC.
08:60:83	zte	zte corporation
08:62:66	ASUSTek	ASUSTek COMPUTER INC.
08:6A:E5	Amazon	Amazon Technologies Inc.
08:7B:0F	Amazon	Amazon Technologies Inc.
08:7B:12	Sagemcom	Sagemcom Broadband SAS
08:7C:39	Amazon	Amazon Technologies Inc.
08:7F:98	vivo	vivo Mobile Communication Co., Ltd.
08:84:9D	Amazon	Amazon Technologies Inc.
08:86:3B	Belkin	Belkin International Inc.
08:8B:C8	Google	Google, Inc.
08:8F:C3	Compal	Compal Information (Kunshan) Co., Ltd.
08:91:15	Amazon	Amazon Technologies Inc.
08:91:A3	Amazon	Amazon Technologies Inc.
08:92:04	Dell	Dell Inc.
08:92:72	Espressif	Espressif Inc.
08:96:D7	AVM	AVM GmbH
08:97:98	Compal	Compal Information (Kunshan) Co., Ltd.
08:9A:C7	zte	zte corporation
08:9E:08	Google	Google, Inc.
08:A6:BC	Amazon	Amazon Technologies Inc.
08:A6:F7	Espressif	Espressif Inc.
08:AA:55	Motorola	Motorola Mobility LLC, a Lenovo Company
08:AA:89	zte	zte corporation
08:AD:0A	Espressif	Espressif Inc.
08:B3:39	Xiaomi	Xiaomi Communications Co Ltd
08:B3:AF	vivo	vivo Mobile Communication Co., Ltd.
08:B4:B1	Google	Google, Inc.
08:B6:1F	Espressif	Espressif Inc.
08:B6:57	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
08:BD:43	Netgear	Netgear
08:BF:B8	ASUSTek	ASUSTek COMPUTER INC.
08:C2:24	Amazon	Amazon Technologies Inc.
08:CC:27	Motorola	Motorola Mobility LLC, a Lenovo Company
08:D1:F9	Espressif	Espressif Inc.
08:D4:6A	LG	LG Electronics (Mobile Communications)
08:D5:9D	Sagemcom	Sagemcom Broadband SAS
08:DD:03	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
08:DF:1F	Bose	Bose Corporation
08:E6:3B	zte	zte corporation
08:ED:B9	Hon	Hon Hai Precision Ind. Co.,Ltd.
08:F6:06	zte	zte corporation
08:F9:E0	Espressif	Espressif Inc.
08:FA:79	vivo	vivo Mobile Communication Co., Ltd.
0C:01:4B	zte	zte corporation
0C:01:A5	zte	zte corporation
0C:07:DF	Xiaomi	Xiaomi Communications Co Ltd
0C:0E:76	DLink	D-Link International
0C:12:62	zte	zte corporation
0C:1B:7B	Microsoft	Microsoft Corporation
0C:1D:AF	Xiaomi	Xiaomi Communications Co Ltd
0C:20:D3	vivo	vivo Mobile Communication Co., Ltd.
0C:29:EF	Dell	Dell Inc.
0C:35:26	Microsoft	Microsoft Corporation
0C:37:47	zte	zte corporation
0C:41:3E	Microsoft	Microsoft Corporation
0C:43:F9	Amazon	Amazon Technologies Inc.
0C:44:C0	zte	zte corporation
0C:47:C9	Amazon	Amazon Technologies Inc.
0C:48:85	LG	LG Electronics (Mobile Communications)
0C:4B:54	TpLink	Tp-Link Technologies Co.,Ltd.
0C:4E:A0	Espressif	Espressif Inc.
0C:54:A5	Pegatron	Pegatron Corporation
0C:60:46	vivo	vivo Mobile Communication Co., Ltd.
0C:60:76	Hon	Hon Hai Precision Ind. Co.,Ltd.
0C:70:43	Sony	Sony Interactive Entertainment Inc.
0C:71:65	Motorola	Motorola Mobility LLC, a Lenovo Company
0C:72:2C	TpLink	Tp-Link Technologies Co.,Ltd.
0C:72:74	AVM	AVM Audiovisuelles Marketing und Computersysteme GmbH
0C:72:D9	zte	zte corporation
0C:7D:B0	Motorola	Motorola Mobility LLC, a Lenovo Company
0C:80:2F	Murata	Murata Manufacturing Co., Ltd.
0C:80:63	TpLink	Tp-Link Technologies Co.,Ltd.
0C:82:68	TpLink	Tp-Link Technologies Co.,Ltd.
0C:84:DC	Hon	Hon Hai Precision Ind. Co.,Ltd.
0C:8B:95	Espressif	Espressif Inc.
0C:8E:29	Arcadyan	Arcadyan Corporation
0C:93:8F	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
0C:98:38	Xiaomi	Xiaomi Communications Co Ltd
0C:9D:92	ASUSTek	ASUSTek COMPUTER INC.
0C:AC:8A	Sagemcom	Sagemcom Broadband SAS
0C:B6:D2	DLink	D-Link International
0C:B8:15	Espressif	Espressif Inc.
0C:BD:75	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
0C:C4:13	Google	Google, Inc.
0C:C4:7A	Super	Super Micro Computer, Inc.
0C:C6:FD	Xiaomi	Xiaomi Communications Co Ltd
0C:CB:85	Motorola	Motorola Mobility LLC, a Lenovo Company
0C:DC:7E	Espressif	Espressif Inc.
0C:DC:91	Amazon	Amazon Technologies Inc.
0C:E7:25	Microsoft	Microsoft Corporation
0C:EA:14	Ubiquiti	Ubiquiti Inc
0C:EC:8D	Motorola	Motorola Mobility LLC, a Lenovo Company
0C:ED:C8	Xiaomi	Xiaomi Communications Co Ltd
0C:EE:99	Amazon	Amazon Technologies Inc.
0C:EE:E6	Hon	Hon Hai Precision Ind. Co.,Ltd.
0C:EF:15	TPLink	TP-Link Systems Inc.
0C:F3:46	Xiaomi	Xiaomi Communications Co Ltd
0C:FE:45	Sony	Sony Interactive Entertainment Inc.
10:00:3B	Espressif	Espressif Inc.
10:05:01	Pegatron	Pegatron Corporation
10:06:1C	Espressif	Espressif Inc.
10:06:45	Sagemcom	Sagemcom Broadband SAS
10:08:B1	Hon	Hon Hai Precision Ind. Co.,Ltd.
10:09:F9	Amazon	Amazon Technologies Inc.
10:0C:6B	Netgear	Netgear
10:0D:7F	Netgear	Netgear
10:10:81	zte	zte corporation
10:12:12	Vivo	Vivo International Corporation Pty Ltd
10:12:D0	zte	zte corporation
10:16:B1	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
10:20:BA	Espressif	Espressif Inc.
10:27:F5	TPLink	TP-Link Systems Inc
10:2A:B3	Xiaomi	Xiaomi Communications Co Ltd
10:2B:1C	Motorola	Motorola Mobility LLC, a Lenovo Company
10:2B:AA	Sagemcom	Sagemcom Broadband SAS
10:2F:6B	Microsoft	Microsoft Corporation
10:32:2C	Murata	Murata Manufacturing Co., Ltd.
10:3C:59	zte	zte corporation
10:3F:44	Xiaomi	Xiaomi Communications Co Ltd
10:51:DB	Espressif	Espressif Inc.
10:52:1C	Espressif	Espressif Inc.
10:59:32	Roku	Roku, Inc
10:5A:17	Tuya	Tuya Smart Inc.
10:5A:95	TPLink	TP-Link Systems Inc.
10:62:EB	DLink	D-Link International
10:65:30	Dell	Dell Inc.
10:68:3F	LG	LG Electronics (Mobile Communications)
10:71:FA	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
10:74:6F	Motorola	Motorola Solutions Malaysia Sdn. Bhd.
10:7A:2A	Microsoft	Microsoft Corporation
10:7B:44	ASUSTek	ASUSTek COMPUTER INC.
10:7C:61	ASUSTek	ASUSTek COMPUTER INC.
10:7D:1A	Dell	Dell Inc.
10:91:A8	Espressif	Espressif Inc.
10:93:27	GIGABYTE	GIGA-BYTE TECHNOLOGY CO. , Ltd.
10:96:93	Amazon	Amazon Technologies Inc.
10:97:BD	Espressif	Espressif Inc.
10:98:19	Dell	Dell Inc.
10:98:36	Dell	Dell Inc.
10:98:C3	Murata	Murata Manufacturing Co., Ltd.
10:A5:D0	Murata	Murata Manufacturing Co., Ltd.
10:AE:60	Amazon	Amazon Technologies Inc.
10:B4:1D	Espressif	Espressif Inc.
10:BC:97	vivo	vivo Mobile Communication Co., Ltd.
10:BD:A3	Espressif	Espressif Inc.
10:BE:F5	DLink	D-Link International
10:BF:48	ASUSTek	ASUSTek COMPUTER INC.
10:BF:67	Amazon	Amazon Technologies Inc.
10:C1:97	Xiaomi	Xiaomi Communications Co Ltd
10:C3:7B	ASUSTek	ASUSTek COMPUTER INC.
10:C5:95	Lenovo	Lenovo
10:C7:35	Microsoft	Microsoft Corporation
10:CE:02	Amazon	Amazon Technologies Inc.
10:D0:AB	zte	zte corporation
10:D5:61	Tuya	Tuya Smart Inc.
10:D7:B0	Sagemcom	Sagemcom Broadband SAS
10:D9:A2	Google	Google, Inc.
10:DA:43	Netgear	Netgear
10:F1:F2	LG	LG Electronics (Mobile Communications)
10:F6:81	vivo	vivo Mobile Communication Co., Ltd.
10:F9:6F	LG	LG Electronics (Mobile Communications)
10:FE:ED	TpLink	Tp-Link Technologies Co.,Ltd.
10:FF:E0	GigaByte	Giga-Byte Technology Co.,Ltd.
14:00:7D	zte	zte corporation
14:05:89	Motorola	Motorola Mobility LLC, a Lenovo Company
14:08:08	Espressif	Espressif Inc.
14:09:B4	zte	zte corporation
14:0A:C5	Amazon	Amazon Technologies Inc.
14:18:77	Dell	Dell Inc.
14:1A:A3	Motorola	Motorola Mobility LLC, a Lenovo Company
14:20:04	zte	zte corporation
14:22:3B	Google	Google, Inc.
14:23:F2	Broadcom	Broadcom Limited
14:23:F3	Broadcom	Broadcom Limited
14:2B:2F	Espressif	Espressif Inc.
14:2D:27	Hon	Hon Hai Precision Ind. Co.,Ltd.
14:30:C6	Motorola	Motorola Mobility LLC, a Lenovo Company
14:33:5C	Espressif	Espressif Inc.
14:36:C6	Lenovo	Lenovo Mobile Communication Technology Ltd.
14:38:FA	Motorola	Motorola Mobility LLC, a Lenovo Company
14:3A:9A	Hon	Hon Hai Precision Industry Co.,LTD
14:3E:BF	zte	zte corporation
14:47:2D	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
14:49:D4	Xiaomi	Xiaomi Communications Co Ltd
14:59:C0	Netgear	Netgear
14:5E:69	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
14:60:80	zte	zte corporation
14:63:93	Espressif	Espressif Inc.
14:6B:9A	zte	zte corporation
14:75:90	TpLink	Tp-Link Technologies Co.,Ltd.
14:78:30	NVIDIA	NVIDIA Corporation
14:7D:C5	Murata	Murata Manufacturing Co., Ltd.
14:86:92	TpLink	Tp-Link Technologies Co.,Ltd.
14:90:7A	Beijing	Beijing Xiaomi Mobile Software Co., Ltd
14:91:38	Amazon	Amazon Technologies Inc.
14:91:82	Belkin	Belkin International Inc.
14:99:3E	Xiaomi	Xiaomi Communications Co Ltd
14:9A:10	Microsoft	Microsoft Corporation
14:9B:F3	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
14:9E:CF	Dell	Dell Inc.
14:9F:E8	Lenovo	Lenovo Mobile Communication Technology Ltd.
14:B3:1F	Dell	Dell Inc.
14:C1:4E	Google	Google, Inc.
14:C1:9F	Espressif	Espressif Inc.
14:C6:97	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
14:C9:13	LG	LG Electronics
14:CA:56	zte	zte corporation
14:CB:65	Microsoft	Microsoft Corporation
14:CC:20	TpLink	Tp-Link Technologies Co.,Ltd.
14:CF:92	TpLink	Tp-Link Technologies Co.,Ltd.
14:D6:4D	DLink	D-Link International
14:D8:64	TpLink	Tp-Link Technologies Co.,Ltd.
14:D8:81	Beijing	Beijing Xiaomi Mobile Software Co., Ltd
14:DA:E9	ASUSTek	ASUSTek COMPUTER INC.
14:DD:9C	vivo	vivo Mobile Communication Co., Ltd.
14:DD:A9	ASUSTek	ASUSTek COMPUTER INC.
14:E6:E4	TpLink	Tp-Link Technologies Co.,Ltd.
14:EB:B6	TPLink	TP-Link Systems Inc
14:F6:5A	Xiaomi	Xiaomi Communications Co Ltd
14:FE:B5	Dell	Dell Inc.
18:01:F1	Xiaomi	Xiaomi Communications Co Ltd
18:02:AE	vivo	vivo Mobile Communication Co., Ltd.
18:03:73	Dell	Dell Inc.
18:04:03	vivo	vivo Mobile Communication Co., Ltd.
18:06:FF	Acer	Acer Computer(Shanghai) Limited.
18:0B:1B	Amazon	Amazon Technologies Inc.
18:0C:7A	Sagemcom	Sagemcom Broadband SAS
18:0C:AC	Canon	Canon Inc.
18:0F:76	DLink	D-Link International
18:13:2D	zte	zte corporation
18:1E:78	Sagemcom	Sagemcom Broadband SAS
18:2A:7B	Nintendo	Nintendo Co., Ltd.
18:31:BF	ASUSTek	ASUSTek COMPUTER INC.
18:48:BE	Amazon	Amazon Technologies Inc.
18:48:CA	Murata	Murata Manufacturing Co., Ltd.
18:4F:32	Hon	Hon Hai Precision Ind. Co.,Ltd.
18:58:80	Arcadyan	Arcadyan Corporation
18:59:36	Xiaomi	Xiaomi Communications Co Ltd
18:5A:58	Dell	Dell Inc.
18:5F:27	Motorola	Motorola Mobility LLC, a Lenovo Company
18:60:41	Arcadyan	Arcadyan Corporation
18:62:2C	Sagemcom	Sagemcom Broadband SAS
18:69:45	TPLink	TP-Link Systems Inc.
18:69:D8	Tuya	Tuya Smart Inc.
18:6A:81	Sagemcom	Sagemcom Broadband SAS
18:74:2E	Amazon	Amazon Technologies Inc.
18:82:8C	Arcadyan	Arcadyan Corporation
18:83:BF	Arcadyan	Arcadyan Corporation
18:87:40	Xiaomi	Xiaomi Communications Co Ltd
18:8B:0E	Espressif	Espressif Inc.
18:90:D8	Sagemcom	Sagemcom Broadband SAS
18:A5:FF	Arcadyan	Arcadyan Corporation
18:A6:F7	TpLink	Tp-Link Technologies Co.,Ltd.
18:C0:4D	GigaByte	Giga-Byte Technology Co.,Ltd.
18:C0:86	Broadcom	Broadcom
18:D0:C5	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
18:D6:C7	TpLink	Tp-Link Technologies Co.,Ltd.
18:D7:17	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
18:DE:50	Tuya	Tuya Smart Inc.
18:E2:9F	vivo	vivo Mobile Communication Co., Ltd.
18:E7:77	vivo	vivo Mobile Communication Co., Ltd.
18:E8:29	Ubiquiti	Ubiquiti Inc
18:F0:E4	Xiaomi	Xiaomi Communications Co Ltd
18:F2:2C	TpLink	Tp-Link Technologies Co.,Ltd.
18:F4:6A	Hon	Hon Hai Precision Ind. Co.,Ltd.
18:FE:34	Espressif	Espressif Inc.
1C:02:19	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
1C:0B:8B	Ubiquiti	Ubiquiti Inc
1C:11:2F	vivo	vivo Mobile Communication Co., Ltd.
1C:12:B0	Amazon	Amazon Technologies Inc.
1C:1A:DF	Microsoft	Microsoft Corporation
1C:1B:0D	GigaByte	Giga-Byte Technology Co.,Ltd.
1C:25:75	Xiaomi	Xiaomi Communications Co Ltd
1C:29:04	Espressif	Espressif Inc.
1C:2A:B0	Beijing	Beijing Xiaomi Electronics Co.,Ltd
1C:39:47	Compal	Compal Information (Kunshan) Co., Ltd.
1C:3B:F3	TpLink	Tp-Link Technologies Co.,Ltd.
1C:3E:84	Hon	Hon Hai Precision Ind. Co.,Ltd.
1C:42:7D	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
1C:44:19	TpLink	Tp-Link Technologies Co.,Ltd.
1C:45:86	Nintendo	Nintendo Co.,Ltd
1C:48:CE	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
1C:4D:66	Amazon	Amazon Technologies Inc.
1C:53:F9	Google	Google, Inc.
1C:56:FE	Motorola	Motorola Mobility LLC, a Lenovo Company
1C:5F:2B	DLink	D-Link International
1C:61:B4	TPLink	TP-Link Systems Inc
1C:64:F0	Motorola	Motorola Mobility LLC, a Lenovo Company
1C:66:6D	Hon	Hon Hai Precision Ind. Co.,Ltd.
1C:69:20	Espressif	Espressif Inc.
1C:6A:1B	Ubiquiti	Ubiquiti Inc
1C:6F:65	GigaByte	Giga-Byte Technology Co.,Ltd.
1C:70:22	Murata	Murata Manufacturing Co., Ltd.
1C:75:08	Compal	Compal Information (Kunshan) Co., Ltd.
1C:77:F6	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
1C:7A:43	vivo	vivo Mobile Communication Co., Ltd.
1C:7A:CF	vivo	vivo Mobile Communication Co., Ltd.
1C:7E:E5	DLink	D-Link International
1C:87:2C	ASUSTek	ASUSTek COMPUTER INC.
1C:8B:84	Espressif	Espressif Systems (Singapore) Pte. Ltd
1C:8B:EF	Beijing	Beijing Xiaomi Electronics Co.,Ltd
1C:8F:57	Espressif	Espressif Inc.
1C:90:FF	Tuya	Tuya Smart Inc.
1C:93:C4	Amazon	Amazon Technologies Inc.
1C:99:4C	Murata	Murata Manufacturing Co., Ltd.
1C:9D:C2	Espressif	Espressif Inc.
1C:A0:B8	Hon	Hon Hai Precision Industry Co., Ltd.
1C:AF:F7	DLink	D-Link International
1C:B7:2C	ASUSTek	ASUSTek COMPUTER INC.
1C:BA:B8	vivo	vivo Mobile Communication Co., Ltd.
1C:BD:B9	DLink	D-Link International
1C:C3:AB	Espressif	Espressif Inc.
1C:C3:EB	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
1C:C6:3C	Arcadyan	Arcadyan Corporation
1C:CC:D6	Xiaomi	Xiaomi Communications Co Ltd
1C:DA:27	vivo	vivo Mobile Communication Co., Ltd.
1C:DB:D4	Espressif	Espressif Inc.
1C:DD:EA	Guangdong	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
1C:E4:CB	Espressif	Espressif Systems (Singapore) Pte. Ltd
1C:E4:DD	Technicolor	Technicolor (China) Technology Co., Ltd.
